demographic_category,demographic_value,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,booster_recip_count,cumulative_booster_recip_count
Gender,Female,2020-11-30,20,1947,11,1155,5,681,4,111,0,31,5,825,19,1224,0,0
Gender,Male,2020-11-30,16,2169,4,1341,7,666,5,162,0,45,5,989,14,1323,0,0
Gender,Male,2020-12-01,163,2332,102,1443,42,708,19,181,4,49,24,1013,160,1483,0,0
Gender,Unknown/undifferentiated,2020-12-01,2,3,0,1,1,1,1,1,0,0,0,0,1,2,0,0
Gender,Female,2020-12-01,249,2196,177,1332,58,739,14,125,3,34,24,849,239,1463,0,0
Gender,Female,2020-12-02,60,2256,49,1381,6,745,5,130,0,34,9,858,56,1519,0,0
Gender,Unknown/undifferentiated,2020-12-02,1,4,1,2,0,1,0,1,0,0,0,0,1,3,0,0
Gender,Male,2020-12-02,45,2377,33,1476,6,714,6,187,0,49,7,1020,44,1527,0,0
Gender,Male,2020-12-03,48,2425,18,1494,24,738,6,193,0,49,7,1027,47,1574,0,0
Gender,Female,2020-12-03,76,2332,33,1414,32,777,11,141,1,35,12,870,73,1592,0,0
Gender,Unknown/undifferentiated,2020-12-04,1,5,0,2,0,1,1,2,0,0,0,0,0,3,0,0
Gender,Male,2020-12-04,30,2455,9,1503,5,743,16,209,0,49,18,1045,28,1602,0,0
Gender,Female,2020-12-04,34,2366,13,1427,13,790,8,149,1,36,10,880,34,1626,0,0
Gender,Female,2020-12-05,19,2385,8,1435,4,794,7,156,0,36,6,886,18,1644,0,0
Gender,Male,2020-12-05,28,2483,12,1515,5,748,11,220,4,53,12,1057,27,1629,0,0
Gender,Female,2020-12-06,15,2400,12,1447,3,797,0,156,0,36,0,886,15,1659,0,0
Gender,Male,2020-12-06,22,2505,12,1527,8,756,2,222,2,55,2,1059,22,1651,0,0
Gender,Female,2020-12-07,48,2448,34,1481,8,805,6,162,3,39,7,893,47,1706,0,0
